year,lat
1917.897,-11.1
1917.897,-9.9
1917.897,-17.0
1917.897,6.2
1917.897,8.3
1917.900,-13.8
1917.900,-7.6
1917.900,-11.8
1917.900,-15.2
1917.900,-16.3
1917.900,8.9
1917.900,21.3
1917.902,-7.4
1917.902,-11.5
1917.902,-14.8
1917.902,21.3
1917.905,-6.7
1917.905,-11.7
1917.905,-16.1
1917.905,-19.3
1917.905,6.1
1917.907,-11.4
1917.907,-6.0
1917.907,-15.0
1917.907,-19.4
1917.910,-8.3
1917.910,-12.7
1917.910,-15.9
1917.910,-18.8
1917.910,7.8
1917.910,22.8
1917.913,-5.5
1917.913,-14.3
1917.913,-17.8
1917.913,5.9
1917.913,4.8
1917.913,6.4
1917.913,20.2
1917.915,-14.4
1917.915,-17.5
1917.915,-18.3
1917.915,6.4
1917.915,7.8
1917.915,7.2
1917.915,22.5
1917.922,-19.3
1917.922,-7.2
1917.922,6.1
1917.922,7.6
1917.922,23.2
1917.922,7.3
1917.924,-18.6
1917.924,-19.3
1917.924,-5.8
1917.924,6.6
1917.924,8.3
1917.924,24.1
1917.924,8.2
1917.927,-20.1
1917.927,-6.2
1917.927,7.0
1917.927,6.0
1917.927,22.3
1917.930,-13.6
1917.930,-5.4
1917.930,8.4
1917.930,8.1
1917.930,6.1
1917.932,-14.2
1917.932,7.7
1917.935,7.2
1917.935,13.1
1917.938,8.8
1917.938,7.7
1917.938,13.9
1917.941,7.9
1917.941,9.2
1917.941,14.0
1917.943,9.0
1917.943,8.3
1917.943,13.7
1917.946,-12.7
1917.946,9.5
1917.946,8.7
1917.946,8.6
1917.949,-13.3
1917.949,-12.3
1917.949,7.0
1917.949,7.2
1917.949,9.6
1917.949,8.2
1917.949,8.8
1917.952,-12.6
1917.952,-18.3
1917.952,7.8
1917.952,5.8
1917.952,6.8
1917.952,8.9
1917.952,8.1
1917.952,8.3
1917.954,-12.6
1917.954,-17.9
1917.954,-20.8
1917.954,7.3
1917.954,6.4
1917.954,7.2
1917.954,14.8
1917.957,-13.0
1917.957,-19.8
1917.957,8.2
1917.957,19.6
1917.957,6.9
1917.957,14.6
1917.957,7.5
1917.960,-14.0
1917.960,-18.7
1917.960,21.2
1917.960,8.8
1917.960,13.4
1917.960,5.4
1917.960,5.4
1917.963,-12.7
1917.963,-16.6
1917.963,-14.2
1917.963,-20.4
1917.963,-16.5
1917.963,20.8
1917.963,27.0
1917.963,8.4
1917.965,-11.8
1917.965,-19.6
1917.965,-13.2
1917.965,-21.6
1917.965,-16.8
1917.965,24.1
1917.965,20.5
1917.965,27.0
1917.965,8.4
1917.974,-13.5
1917.976,-14.0
1917.976,-23.0
1917.976,-19.4
1917.976,-14.4
1917.976,-6.7
1917.976,-18.3
1917.976,-0.3
1917.976,15.8
1917.976,25.7
1917.990,-11.4
1917.990,-15.5
1917.990,-9.3
1917.990,-7.2
1917.990,-8.6
1917.990,-11.7
1917.990,7.3
1917.990,22.7
1917.990,2.9
1917.990,18.6
1917.993,-15.3
1917.993,-9.1
1917.993,-7.6
1917.993,-8.8
1917.993,-11.8
1917.993,-11.9
1917.993,9.3
1917.993,7.7
1917.993,22.8
1917.993,3.3
1917.993,-0.1
1918.001,-5.9
1918.001,-7.0
1918.001,-20.9
1918.001,9.8
1918.001,9.3
1918.004,-8.8
1918.004,6.8
1918.004,9.7
1918.006,-9.4
1918.006,-19.1
1918.006,5.8
1918.006,10.6
1918.008,-9.1
1918.008,6.6
1918.008,10.7
1918.012,-20.0
1918.012,6.7
1918.014,6.6
1918.014,6.8
1918.017,4.9
1918.017,7.4
1918.020,5.4
1918.020,13.1
1918.020,7.4
1918.022,-18.8
1918.022,13.9
1918.022,6.0
1918.022,6.6
1918.025,-18.8
1918.025,14.0
1918.025,6.1
1918.025,6.8
1918.028,-16.3
1918.028,14.8
1918.028,6.3
1918.042,-16.3
1918.042,-10.7
1918.042,-7.2
1918.042,16.1
1918.042,21.5
1918.042,4.8
1918.045,-16.3
1918.045,-11.6
1918.045,-7.5
1918.045,17.8
1918.045,15.9
1918.047,-11.3
1918.047,-7.2
1918.047,15.6
1918.047,16.6
1918.047,23.6
1918.047,21.2
1918.050,-15.2
1918.050,-10.9
1918.050,-6.6
1918.050,2.0
1918.050,16.3
1918.050,16.4
1918.050,22.7
1918.053,-6.6
1918.053,-15.7
1918.053,-10.5
1918.053,3.7
1918.053,16.4
1918.056,-14.9
1918.056,-10.5
1918.056,-6.7
1918.056,-15.6
1918.056,-6.8
1918.056,3.5
1918.056,3.4
1918.056,16.7
1918.056,17.9
1918.058,-6.9
1918.058,-15.1
1918.058,-6.8
1918.058,3.4
1918.058,8.6
1918.058,2.9
1918.058,15.9
1918.072,-8.5
1918.072,-19.9
1918.072,9.6
1918.075,-6.4
1918.075,-20.1
1918.075,-11.8
1918.075,10.4
1918.078,-16.6
1918.078,-18.3
1918.078,-10.4
1918.078,10.4
1918.080,-18.5
1918.080,-20.2
1918.080,-30.8
1918.080,7.4
1918.080,10.8
1918.083,-9.4
1918.083,-31.1
1918.083,-31.5
1918.083,8.4
1918.083,10.4
1918.094,13.9
1918.094,8.6
1918.094,-29.9
1918.094,-31.9
1918.096,13.9
1918.096,15.8
1918.107,-8.2
1918.107,13.8
1918.110,-8.9
1918.110,13.6
1918.113,-8.3
1918.113,18.1
1918.113,13.7
1918.116,-8.0
1918.116,17.5
1918.116,14.0
1918.118,-8.3
1918.118,-9.7
1918.118,5.0
1918.118,18.8
1918.118,13.2
1918.121,-15.7
1918.121,4.0
1918.121,13.6
1918.121,16.6
1918.124,-16.9
1918.124,3.6
1918.124,17.3
1918.127,-9.5
1918.127,-16.5
1918.127,0.2
1918.127,3.4
1918.165,-13.4
1918.165,6.4
1918.165,8.0
1918.168,-12.2
1918.168,6.8
1918.201,7.3
1918.201,9.1
1918.201,18.5
1918.203,2.7
1918.203,9.4
1918.203,19.4
1918.217,-18.4
1918.217,-19.5
1918.220,-17.5
1918.220,-18.3
1918.223,-17.5
1918.223,-19.2
1918.223,-15.7
1918.225,-17.1
1918.225,-19.5
1918.225,-23.5
1918.225,-16.8
1918.234,-21.6
1918.234,-16.6
1918.236,-4.6
1918.239,-24.7
1918.239,-3.6
1918.242,-26.2
1918.242,-28.3
1918.242,-4.7
1918.242,-13.3
1918.245,-5.5
1918.245,-26.6
1918.283,-15.8
1918.283,-10.7
1918.283,10.5
1918.283,-1.4
1918.286,-15.1
1918.286,-10.6
1918.286,2.9
1918.286,10.6
1918.288,-10.5
1918.288,2.8
1918.288,10.4
1918.291,-16.2
1918.291,2.3
1918.296,-21.5
1918.296,-12.0
1918.299,-10.9
1918.299,-6.1
1918.302,-20.4
1918.302,-21.6
1918.302,-10.3
1918.302,-6.3
1918.305,-12.2
1918.305,-5.5
1918.308,-10.0
1918.308,-22.5
1918.308,-6.0
1918.310,-23.5
1918.310,-9.1
1918.310,-5.5
1918.313,-5.3
1918.313,-22.7
1918.313,-9.6
1918.316,-23.9
1918.316,-9.3
1918.316,-5.2
1918.319,-24.8
1918.319,-9.3
1918.319,25.8
1918.319,-5.3
1918.321,-4.7
1918.321,-9.2
1918.321,-24.0
1918.321,-25.8
1918.321,-8.5
1918.321,13.4
1918.321,16.8
1918.321,26.2
1918.324,-24.3
1918.324,-8.4
1918.324,13.2
1918.324,16.7
1918.324,17.2
1918.324,25.9
1918.327,-26.3
1918.327,-8.2
1918.327,14.2
1918.327,17.8
1918.327,26.7
1918.329,-24.1
1918.329,-12.8
1918.329,-8.8
1918.329,16.3
1918.329,12.7
1918.332,-20.7
1918.332,22.2
1918.332,14.5
1918.332,18.5
1918.332,13.0
1918.332,-8.6
1918.335,-19.9
1918.335,21.8
1918.335,16.1
1918.335,11.7
1918.338,-21.4
1918.338,13.5
1918.338,19.7
1918.338,15.7
1918.338,27.1
1918.340,-20.6
1918.340,14.8
1918.340,18.3
1918.340,18.5
1918.340,13.6
1918.343,-21.2
1918.343,0.9
1918.343,14.1
1918.343,17.6
1918.343,19.3
1918.343,17.4
1918.360,-16.6
1918.360,-5.6
1918.360,17.2
1918.363,-16.6
1918.363,-5.7
1918.363,-21.4
1918.365,-5.5
1918.368,-15.9
1918.368,-20.8
1918.371,-21.4
